,word,index,frequency
0,<start>,0,-13.418931353020936
1,a,1,0.0
2,.,2,-0.404589807214057
3,on,3,-1.515485227328364
4,of,4,-1.5730254549716385
5,the,5,-1.6120087973661623
6,in,6,-1.6749973470133597
7,with,7,-1.8624580121232208
8,and,8,-1.9634443410979734
9,is,9,-2.3008129949713516
10,man,10,-2.5874616800210677
11,to,11,-2.6691464404311867
12,sitting,12,-2.918807520305705
13,an,13,-2.977401921925576
14,two,14,-3.0021412468439235
15,standing,15,-3.123199030547497
16,at,16,-3.134373849211364
17,people,17,-3.1364253423916257
18,are,18,-3.166125852999643
19,",",19,-3.2043626346047938
20,next,20,-3.2743031724689424
21,white,21,-3.3004937241991246
22,woman,22,-3.343298850142412
23,street,23,-3.472815438429184
24,table,24,-3.4779071969560804
25,that,25,-3.561278336828606
26,holding,26,-3.566526590714122
27,it,27,-3.6256493678058326
28,person,28,-3.668536706618631
29,large,29,-3.6817345402062336
30,some,30,-3.682088877893753
31,down,31,-3.7227140026427263
32,top,32,-3.7907362752906644
33,group,33,-3.7955546074402693
34,field,34,-3.834272601933424
35,up,35,-3.853717659052647
36,small,36,-3.8814478397120573
37,near,37,-3.9083382514191185
38,tennis,38,-3.9090791568393937
39,his,39,-3.935134615856953
40,black,40,-3.9400152783327074
41,front,41,-3.9476893241279405
42,plate,42,-3.969495343516615
43,train,43,-3.9717812389667277
44,room,44,-3.974388802373808
45,riding,45,-3.977876164234224
46,dog,46,-3.988492059916767
47,young,47,-4.045027597179386
48,red,48,-4.046302078001034
49,by,49,-4.052271226789799
50,cat,50,-4.061464916154458
51,water,51,-4.083721998998882
52,baseball,52,-4.093299936710016
53,walking,53,-4.1876125746595605
54,playing,54,-4.188200291397017
55,has,55,-4.2003252366277195
56,bathroom,56,-4.20739170046927
57,while,57,-4.211996774179585
58,sign,58,-4.261359046583408
59,blue,59,-4.279657429478611
60,food,60,-4.287093209199709
61,kitchen,61,-4.288717025524036
62,grass,62,-4.3094062862835685
63,bus,63,-4.324675460065555
64,there,64,-4.336537995375373
65,pizza,65,-4.348888066583475
66,parked,66,-4.350846028625623
67,green,67,-4.36723507448435
68,building,68,-4.40424096805004
69,snow,69,-4.408262176173819
70,side,70,-4.408872863215699
71,looking,71,-4.4150003333677965
72,bed,72,-4.4159842222677295
73,other,73,-4.422279373588207
74,beach,74,-4.448245084485951
75,ball,75,-4.451682170168658
76,couple,76,-4.4566677989041725
77,three,77,-4.478826139892812
78,boy,78,-4.481187416078491
79,men,79,-4.490688675202632
80,for,80,-4.495606608953372
81,flying,81,-4.53045050529812
82,toilet,82,-4.5391805545078086
83,city,83,-4.548268348614913
84,road,84,-4.568413731274214
85,skateboard,85,-4.574450834560556
86,clock,86,-4.591169985366214
87,player,87,-4.592050008890302
88,out,88,-4.598822708512326
89,game,89,-4.602671144286353
90,wearing,90,-4.606683334823503
91,her,91,-4.6146062404583965
92,laying,92,-4.634769130750458
93,over,93,-4.635381875867669
94,several,94,-4.641838470165368
95,girl,95,-4.643845417963668
96,from,96,-4.671420406542486
97,sits,97,-4.681318316212083
98,wooden,98,-4.684210349076123
99,bear,99,-4.704527992316992
100,through,100,-4.712606512882193
101,picture,101,-4.716421095830944
102,their,102,-4.719083327020622
103,around,103,-4.7207508278238794
104,bench,104,-4.721585622095583
105,eating,105,-4.730646086762292
106,laptop,106,-4.734191890392896
107,cake,107,-4.748845415501554
108,area,108,-4.752456458888943
109,horse,109,-4.759717901584269
110,brown,110,-4.765984240627077
111,yellow,111,-4.774400913143502
112,giraffe,112,-4.790733603561785
113,board,113,-4.790912606515812
114,sink,114,-4.79414015100668
115,one,115,-4.799001084153584
116,computer,116,-4.80406713443125
117,phone,117,-4.804248540327439
118,frisbee,118,-4.8058826759611755
119,outside,119,-4.833145370139086
120,living,120,-4.835388781063163
121,air,121,-4.8442242554040895
122,truck,122,-4.851996069709882
123,window,123,-4.894961177325673
124,desk,124,-4.8997401589420235
125,as,125,-4.909770333301962
126,'s,126,-4.920105818962883
127,motorcycle,127,-4.924188290442288
128,umbrella,128,-4.925621102068028
129,car,129,-4.926645797310883
130,trees,130,-4.929109358400829
131,tree,131,-4.934674661850963
132,each,132,-4.94089487680589
133,covered,133,-4.941519031616542
134,many,134,-4.949458897816109
135,elephant,135,-4.951558856588653
136,park,136,-4.951979378041443
137,open,137,-4.952189705100794
138,close,138,-4.953242004471813
139,very,139,-4.97516943969058
140,wall,140,-4.976461707800633
141,this,141,-4.984033404331527
142,old,142,-4.985772157214706
143,little,143,-5.016027308006825
144,filled,144,-5.017373505203622
145,fire,145,-5.027528167662997
146,under,146,-5.027528167662997
147,behind,147,-5.029344286209843
148,stop,148,-5.03618425815762
149,sky,149,-5.052328520237198
150,court,150,-5.0562889214532944
151,together,151,-5.058158080875998
152,child,152,-5.062611387192781
153,into,153,-5.063551457767302
154,kite,154,-5.091688745563143
155,its,155,-5.1201429585717335
156,surfboard,156,-5.132409979339698
157,bat,157,-5.132409979339698
158,skis,158,-5.135184605914803
159,inside,159,-5.13974157582593
160,sheep,160,-5.146871730810522
161,photo,161,-5.157404904624467
162,bowl,162,-5.157404904624467
163,airplane,163,-5.158697061413637
164,boat,164,-5.166485262773982
165,big,165,-5.171711300275705
166,background,166,-5.179073942002333
167,back,167,-5.192892923535451
168,bunch,168,-5.19396387410635
169,ocean,169,-5.197183624674311
170,couch,170,-5.201762757254864
171,stands,171,-5.205820655424258
172,chair,172,-5.212074924621284
173,bird,173,-5.222218945807864
174,zebra,174,-5.225807631508868
175,light,175,-5.226084218428069
176,view,176,-5.226914438484059
177,traffic,177,-5.22802247183842
178,cell,178,-5.236372088952271
179,hydrant,179,-5.237210897892826
180,plane,180,-5.237490657301562
181,glass,181,-5.241134669743158
182,teddy,182,-5.2501615293456645
183,mirror,183,-5.260128862326933
184,women,184,-5.267309706051185
185,fence,185,-5.268752083338608
186,counter,186,-5.273091740084094
187,sandwich,187,-5.276868069916789
188,orange,188,-5.30850411544591
